City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
220,Axim,GH,78.85,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
222,Adrar,MR,75.33,clear sky,20.5022,-10.0711,
231,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
239,Idukki,IN,79.95,scattered clouds,9.85,76.9667,"GOVERNMENT GUEST HOUSE, IDUKKI"
244,Kirakira,SB,84.06,broken clouds,-10.4544,161.9205,SanBiz Lodge
251,Saint-Philippe,RE,75.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
256,Luis Correia,BR,77.72,overcast clouds,-2.8792,-41.6669,Hotel Amarração
267,Lugus,PH,82.51,broken clouds,5.7036,120.8203,
273,Cockburn Town,TC,77.11,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
279,Belmonte,BR,76.46,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
280,Cap Malheureux,MU,76.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
287,Itoman,JP,75.22,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
296,Kudahuvadhoo,MV,83.5,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
300,Mtsamboro,YT,79.92,few clouds,-12.6998,45.0689,4 Etoiles
302,Key West,US,82.4,broken clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
306,Touros,BR,77.95,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
307,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
314,Mancora,PE,75.15,broken clouds,-4.1078,-81.0475,Máncora Marina Hotel
317,Maunabo,PR,78.64,broken clouds,18.0072,-65.8993,Maunacaribe
326,Vao,NC,77.0,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
330,Manokwari,ID,83.91,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
334,Broken Hill,AU,80.31,clear sky,-31.95,141.4333,Royal Exchange Hotel
336,Diffa,NE,82.2,broken clouds,13.3154,12.6113,ProDAF/Diffa
341,Gold Coast,AU,77.45,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
343,Kyabe,TD,82.99,overcast clouds,9.4515,18.9449,
350,Gatton,AU,77.94,scattered clouds,-27.55,152.2833,Room Motels Gatton
351,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
353,Tahoua,NE,78.67,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
363,San Patricio,US,75.07,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
364,Temixco,MX,76.26,overcast clouds,18.85,-99.2333,Parador De Manolos Hotel
369,Shillong,IN,75.24,haze,25.5689,91.8831,Cafe Shillong Bed and Breakfast
376,Souillac,MU,77.38,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
379,San Carlos Del Zulia,VE,76.08,overcast clouds,9.0,-71.9135,Hotel El Manantial
380,Takoradi,GH,79.18,overcast clouds,4.8845,-1.7554,Raybow International Hotel
384,Acapulco,MX,79.0,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
386,Amuntai,ID,81.09,moderate rain,-2.4177,115.2494,Hotel Balqis
387,Jacmel,HT,80.44,few clouds,18.2342,-72.5347,Historic Hotel Florita
390,Palauig,PH,82.98,broken clouds,15.435,119.9045,Alperi Botique Resort
396,Green Valley,US,77.77,broken clouds,31.8543,-110.9937,Best Western Green Valley Inn
399,Road Town,VG,77.09,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
402,Omboue,GA,76.95,overcast clouds,-1.5746,9.2618,Hotel Olako
