City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,Luderitz,-26.6481,15.1594,61.63,75,1,3.31,NA,2022-04-13 00:34:31
117,Touros,-5.1989,-35.4608,79.93,75,70,10.47,BR,2022-04-13 00:34:31
118,Awjilah,29.1081,21.2869,62.67,28,25,8.79,LY,2022-04-13 00:34:32
119,Chokurdakh,70.6333,147.9167,4.41,88,100,4.38,RU,2022-04-13 00:34:32
120,Freeport,40.6576,-73.5832,68.97,67,0,11.5,US,2022-04-13 00:34:33
121,Torbay,47.6666,-52.7314,39.27,81,75,25.32,CA,2022-04-13 00:34:33
122,Kununurra,-15.7667,128.7333,78.78,89,40,6.91,AU,2022-04-13 00:34:34
123,Borba,-4.3878,-59.5939,73.81,98,98,2.71,BR,2022-04-13 00:34:34
124,Hilo,19.7297,-155.09,81.28,83,75,3.44,US,2022-04-13 00:31:07
125,Saint-Francois,46.4154,3.9054,53.42,85,0,1.14,FR,2022-04-13 00:34:35
126,Saldanha,-33.0117,17.9442,57.25,90,100,10.54,ZA,2022-04-13 00:34:35
127,Grindavik,63.8424,-22.4338,39.15,87,0,5.75,IS,2022-04-13 00:34:36
128,Resistencia,-27.4606,-58.9839,72.09,95,0,5.75,AR,2022-04-13 00:31:39
129,Tudela,42.0617,-1.6045,52.7,84,69,2.04,ES,2022-04-13 00:34:37
130,Peekskill,41.2901,-73.9204,65.82,65,30,5.19,US,2022-04-13 00:34:37
131,Dikson,73.5069,80.5464,25.05,97,100,4.85,RU,2022-04-13 00:34:38
132,Bengkulu,-3.8004,102.2655,78.42,85,40,2.26,ID,2022-04-13 00:34:38
133,Uniara,26.15,75.2167,78.62,22,0,10.49,IN,2022-04-13 00:34:39
134,Norman Wells,65.282,-126.8329,26.64,36,0,9.22,CA,2022-04-13 00:34:39
135,Kodiak,57.79,-152.4072,44.11,65,0,14.97,US,2022-04-13 00:34:40
136,Mizan Teferi,6.9833,35.5833,60.33,92,92,3.96,ET,2022-04-13 00:35:40
137,Mount Gambier,-37.8333,140.7667,62.51,63,20,12.66,AU,2022-04-13 00:35:41
138,Nikolskoye,59.7035,30.7861,33.8,94,7,2.8,RU,2022-04-13 00:35:41
139,Fortuna,40.5982,-124.1573,50.94,70,100,12.66,US,2022-04-13 00:35:42
140,Gao,16.6362,1.637,85.62,10,3,10.67,ML,2022-04-13 00:35:42
141,Aripuana,-9.1667,-60.6333,73.22,97,79,1.95,BR,2022-04-13 00:32:34
142,Felsoszentivan,46.1971,19.1869,42.44,65,2,7.78,HU,2022-04-13 00:35:43
143,Magna,40.7091,-112.1016,36.14,75,75,9.22,US,2022-04-13 00:35:44
144,Taltal,-25.4,-70.4833,62.73,74,0,3.29,CL,2022-04-13 00:35:44
145,Punta Arenas,-53.15,-70.9167,44.71,65,40,23.02,CL,2022-04-13 00:35:45
146,Douglas,41.3,-96.167,86.88,32,0,25.32,US,2022-04-13 00:35:45
147,Selu,19.4667,76.4667,88.83,21,100,5.88,IN,2022-04-13 00:35:46
148,Pasighat,28.0667,95.3333,75.76,66,33,1.74,IN,2022-04-13 00:35:46
149,Vardo,70.3705,31.1107,27.88,79,68,15.59,NO,2022-04-13 00:35:47
150,Vao,-22.6667,167.4833,75.38,73,10,8.59,NC,2022-04-13 00:35:47
151,Springbok,-29.6643,17.8865,63.1,44,23,3.83,ZA,2022-04-13 00:35:48
152,Nanortalik,60.1432,-45.2371,33.55,70,100,4.76,GL,2022-04-13 00:35:48
153,Rocha,-34.4833,-54.3333,54.1,71,0,3.2,UY,2022-04-13 00:35:49
154,Chernolesskoye,44.7156,43.7133,41.7,78,44,17.2,RU,2022-04-13 00:35:49
