City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
130,Luderitz,NA,-26.6481,15.1594,59.83,51,0,11.54,clear sky
131,Shiraz,IR,29.6036,52.5388,58.44,51,64,0.0,broken clouds
132,Gberia Fotombu,SL,9.8833,-11.1667,74.59,51,46,5.08,scattered clouds
133,Aykhal,RU,66.0,111.5,18.09,84,100,15.5,overcast clouds
134,Berdigestyakh,RU,62.0989,126.6992,26.85,81,100,8.41,overcast clouds
135,Klishkivtsi,UA,48.4316,26.2623,49.98,88,100,7.11,overcast clouds
136,Puerto Escondido,MX,15.85,-97.0667,81.79,75,73,7.0,broken clouds
137,Khatanga,RU,71.9667,102.5,21.22,93,100,9.98,light snow
138,Arman,RU,59.7,150.1667,30.02,56,93,1.92,overcast clouds
139,Saint George,US,37.1041,-113.5841,70.39,24,0,3.44,clear sky
140,Intipuca,SV,13.1969,-88.0544,80.37,78,92,4.41,overcast clouds
141,Galbshtadt,RU,53.2264,78.9845,58.14,24,5,14.85,clear sky
142,Yerofey Pavlovich,RU,53.9667,121.9667,34.47,33,37,12.97,scattered clouds
143,Ust-Karsk,RU,52.7011,118.8077,40.95,26,78,11.23,broken clouds
144,Victoria,HK,22.2855,114.1577,75.96,70,97,25.01,overcast clouds
145,Talnakh,RU,69.4865,88.3972,25.21,90,100,10.96,light snow
146,Montrose,US,38.4166,-108.2673,45.81,41,80,6.53,broken clouds
147,Gigmoto,PH,13.7796,124.39,84.24,65,67,4.52,broken clouds
148,Arraial Do Cabo,BR,-22.9661,-42.0278,71.22,72,3,21.99,clear sky
149,Hobyo,SO,5.3505,48.5268,82.65,73,51,7.36,broken clouds
150,Birjand,IR,32.8663,59.2211,64.87,39,0,4.61,clear sky
151,Opuwo,NA,-18.0607,13.84,64.96,55,63,1.57,broken clouds
152,Alofi,NU,-19.0595,-169.9187,80.49,89,31,6.91,scattered clouds
153,Cedar City,US,37.6775,-113.0619,52.77,28,0,11.5,clear sky
154,Siguiri,GN,11.6667,-9.5,85.51,43,75,6.33,broken clouds
155,Strezhevoy,RU,60.7333,77.5889,46.11,78,100,12.35,overcast clouds
156,Longyearbyen,SJ,78.2186,15.6401,31.84,86,75,5.75,broken clouds
157,Porto Novo,BJ,6.4965,2.6036,82.22,84,100,3.89,light rain
158,Cabo San Lucas,MX,22.8909,-109.9124,74.61,53,100,9.15,overcast clouds
159,Solnechnyy,RU,50.7214,136.6319,39.42,78,100,4.23,overcast clouds
160,Pincher Creek,CA,49.4833,-113.952,23.16,71,40,9.22,scattered clouds
161,Thompson,CA,55.7435,-97.8558,19.56,53,75,6.91,broken clouds
162,Coquimbo,CL,-29.9533,-71.3436,55.13,76,0,0.0,clear sky
163,Kaitangata,NZ,-46.2817,169.8464,55.24,57,6,19.98,clear sky
164,Pacific Grove,US,36.6177,-121.9166,55.08,80,0,1.99,clear sky
165,Honningsvag,NO,70.9821,25.9704,37.15,81,100,9.22,overcast clouds
166,Bethel,US,41.3712,-73.414,58.64,45,9,8.99,clear sky
167,Tura,IN,25.5198,90.2201,81.75,74,98,8.68,overcast clouds
168,Severo-Kurilsk,RU,50.6789,156.125,32.58,80,100,4.52,overcast clouds
169,Breves,BR,-1.6822,-50.4803,72.97,97,100,2.66,overcast clouds
170,Lasa,IT,46.6166,10.7002,45.36,92,47,7.47,scattered clouds
171,Kloulklubed,PW,7.0419,134.2556,84.7,75,39,6.26,scattered clouds
172,Winton,US,37.3894,-120.6133,66.22,45,0,5.75,clear sky
173,Siwana,IN,25.6333,72.4167,86.94,38,0,10.76,clear sky
174,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,88,17,3.06,few clouds
175,Zyryanskoye,RU,56.8306,86.6258,49.1,73,95,7.83,overcast clouds
176,Usinsk,RU,65.9939,57.5281,19.92,84,100,14.2,overcast clouds
177,College,US,64.8569,-147.8028,33.75,40,75,16.11,broken clouds
178,Saint-Augustin,CA,51.226,-58.6502,31.3,99,100,5.79,snow
179,General Roca,AR,-39.0333,-67.5833,64.06,24,0,4.99,clear sky
180,Hegra,NO,63.4644,11.114,39.42,87,0,5.75,clear sky
181,Bozoum,CF,6.3193,16.3799,68.49,93,87,4.54,overcast clouds
182,Bengkulu,ID,-3.8004,102.2655,84.97,64,100,4.21,overcast clouds
183,Chokurdakh,RU,70.6333,147.9167,11.95,87,100,5.68,overcast clouds
184,Yulara,AU,-25.2406,130.9889,96.64,15,10,14.97,clear sky
185,Buin,CL,-33.7333,-70.75,60.06,65,1,1.5,clear sky
186,Asau,RO,46.4333,26.4,43.95,98,98,1.39,overcast clouds
187,Bandar-E Anzali,IR,37.4727,49.4622,53.71,64,100,4.43,overcast clouds
188,Salvador,SV,13.8333,-88.9167,77.4,79,94,1.7,overcast clouds
189,Richards Bay,ZA,-28.783,32.0377,68.52,88,100,12.95,moderate rain
190,Kerema,PG,-7.9631,145.7785,84.49,71,100,7.29,overcast clouds
191,Padang,ID,-0.9492,100.3543,87.85,65,100,1.7,overcast clouds
192,Narsaq,GL,60.9167,-46.05,30.42,76,61,2.75,broken clouds
193,Port-Gentil,GA,-0.7193,8.7815,80.06,82,99,3.2,overcast clouds
194,Chippenham,GB,51.46,-2.1247,51.12,90,4,3.69,clear sky
195,Hammerfest,NO,70.6634,23.6821,32.45,86,100,1.14,light snow
196,Broome,US,42.2506,-75.833,59.38,28,40,10.36,scattered clouds
197,Saskylakh,RU,71.9167,114.0833,6.87,89,41,10.83,scattered clouds
198,Alta Floresta,BR,-9.8756,-56.0861,70.84,97,100,0.18,overcast clouds
199,Maridi,SS,4.9158,29.4742,67.14,93,100,7.74,overcast clouds
200,Codrington,AU,-38.2667,141.9667,76.14,42,33,5.55,scattered clouds
201,Hamilton,US,39.1834,-84.5333,58.23,67,100,11.5,overcast clouds
202,Pascagoula,US,30.3658,-88.5561,68.5,95,0,0.0,clear sky
203,Yumen,CN,40.2833,97.2,46.94,18,0,27.47,clear sky
204,Sivas,TR,39.7916,37.0019,32.63,86,0,6.91,clear sky
205,Delijan,IR,33.9905,50.6838,62.6,45,3,4.88,clear sky
206,Malinovoye Ozero,RU,51.6753,79.7825,60.85,20,0,13.67,clear sky
207,Panama City,PA,8.9936,-79.5197,80.55,77,40,9.22,scattered clouds
208,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,44,0,17.27,clear sky
209,Salalah,OM,17.0151,54.0924,77.09,73,0,2.3,clear sky
210,Voznesenye,RU,61.0106,35.4781,24.66,93,11,5.86,few clouds
211,Carballo,ES,43.213,-8.691,53.87,93,20,2.77,few clouds
212,Sao Filipe,CV,14.8961,-24.4956,70.48,76,7,7.34,clear sky
213,Elk City,US,35.412,-99.4043,66.18,44,0,23.02,clear sky
214,Pisco,PE,-13.7,-76.2167,65.01,82,0,10.36,clear sky
215,Ostrovnoy,RU,68.0531,39.5131,20.86,89,81,9.4,broken clouds
216,Sylva,RU,58.0348,56.7635,31.37,86,100,10.54,light snow
217,Dovers,VC,12.8833,-61.1833,79.18,75,26,20.74,scattered clouds
218,Portales,US,34.1862,-103.3344,68.09,11,100,7.49,overcast clouds
219,Erenhot,CN,43.6475,111.9767,51.85,17,6,8.48,clear sky
220,Axim,GH,4.8699,-2.2405,78.85,84,97,5.37,overcast clouds
221,Portland,US,45.5234,-122.6762,48.18,64,12,4.0,few clouds
222,Adrar,MR,20.5022,-10.0711,75.33,16,2,10.22,clear sky
223,Shimoda,JP,34.6667,138.95,57.56,83,100,12.71,overcast clouds
224,Oxford,GB,51.7522,-1.256,48.78,91,2,1.14,clear sky
225,Mount Gambier,AU,-37.8333,140.7667,73.31,64,81,4.61,broken clouds
226,Sobolivka,UA,49.336,28.651,48.52,92,100,7.78,light rain
227,Tshikapa,CD,-6.4167,20.8,70.83,96,100,0.65,light rain
228,Manicore,BR,-5.8092,-61.3003,73.06,99,100,2.55,overcast clouds
229,Nuuk,GL,64.1835,-51.7216,6.06,83,4,7.58,clear sky
230,Mnogovershinnyy,RU,53.9353,139.9242,31.15,95,100,3.44,overcast clouds
231,Cayenne,GF,4.9333,-52.3333,81.09,1,75,5.75,broken clouds
232,Kurilsk,RU,45.2333,147.8833,32.4,80,100,9.82,overcast clouds
233,Weligama,LK,5.9667,80.4167,86.07,67,36,4.85,scattered clouds
234,Cicero Dantas,BR,-10.6,-38.3833,72.28,82,31,3.22,scattered clouds
235,Turukhansk,RU,65.8167,87.9833,34.66,100,100,7.05,snow
236,Nouadhibou,MR,20.931,-17.0347,62.58,94,0,11.5,clear sky
237,Kodinsk,RU,58.6881,99.1844,46.78,71,100,5.21,overcast clouds
238,Obu,JP,35.0,136.9667,72.18,40,38,16.71,scattered clouds
239,Idukki,IN,9.85,76.9667,79.95,76,43,2.86,scattered clouds
240,Churapcha,RU,62.0025,132.4325,29.35,82,86,3.69,overcast clouds
241,Istiaia,GR,38.9558,23.1528,56.53,52,100,1.23,overcast clouds
242,Anadyr,RU,64.75,177.4833,32.5,80,0,26.84,clear sky
243,Wuxue,CN,29.8506,115.5525,54.16,70,100,3.29,moderate rain
244,Kirakira,SB,-10.4544,161.9205,84.06,71,72,5.28,broken clouds
245,Paraiso,CR,9.8383,-83.8656,70.66,97,93,3.58,overcast clouds
246,Ancud,CL,-41.8697,-73.8203,54.23,92,10,3.6,clear sky
247,Fortuna,US,40.5982,-124.1573,43.66,92,100,0.0,light rain
248,Bhagalpur,IN,25.25,87.0,104.04,6,41,7.58,scattered clouds
249,Pemangkat,ID,1.1667,108.9667,86.18,66,86,7.52,overcast clouds
250,Cuamba,MZ,-14.8031,36.5372,66.47,95,10,1.39,clear sky
251,Saint-Philippe,RE,-21.3585,55.7679,75.22,85,51,15.01,light rain
252,Zhigansk,RU,66.7697,123.3711,14.61,83,75,9.19,broken clouds
253,Nome,US,64.5011,-165.4064,33.87,80,100,21.85,overcast clouds
254,Los Alamos,US,35.8881,-106.307,56.98,20,0,1.01,clear sky
255,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.36,100,100,5.75,mist
256,Luis Correia,BR,-2.8792,-41.6669,77.72,89,90,5.06,overcast clouds
257,Morros,BR,-9.4467,-46.3003,71.98,89,58,2.59,broken clouds
258,Yuanping,CN,38.7153,112.7575,62.58,10,26,1.99,scattered clouds
259,Caohai,CN,26.8661,104.2841,40.19,88,100,5.46,overcast clouds
260,Sao Joao Da Ponte,BR,-15.9292,-44.0078,70.92,83,91,3.0,light rain
261,Porosozero,RU,62.7191,32.727,25.7,85,12,4.07,few clouds
262,Pimentel,PE,-6.8367,-79.9342,66.61,86,95,14.58,overcast clouds
263,Kampong Thum,KH,12.7111,104.8887,95.27,45,98,8.55,overcast clouds
264,Ylivieska,FI,64.0833,24.55,28.89,84,97,3.02,overcast clouds
265,Ilulissat,GL,69.2167,-51.1,-11.65,90,11,5.73,few clouds
266,Flinders,AU,-34.5833,150.8552,74.48,66,52,4.83,broken clouds
267,Lugus,PH,5.7036,120.8203,82.51,75,67,7.16,broken clouds
268,Ajaccio,FR,42.0,8.9167,51.85,81,0,5.75,clear sky
269,Belaya Gora,RU,68.5333,146.4167,16.74,75,100,2.37,overcast clouds
270,Plotnikovo,RU,55.0247,85.9436,52.14,69,81,7.07,broken clouds
271,Barra Do Bugres,BR,-15.0725,-57.1811,69.82,93,40,0.38,scattered clouds
272,Nacala,MZ,-14.5428,40.6728,74.89,94,7,5.61,light rain
273,Cockburn Town,TC,21.4612,-71.1419,77.11,80,82,24.02,broken clouds
274,Okha,RU,53.5739,142.9478,33.78,79,100,12.19,overcast clouds
275,Beziers,FR,43.3476,3.219,61.9,82,0,6.91,clear sky
276,Ipixuna,BR,-1.7625,-48.8043,73.44,97,100,2.3,overcast clouds
277,Warmbad,NA,-28.45,18.7333,57.07,58,0,14.63,clear sky
278,Naze,JP,28.3667,129.4833,72.52,56,23,19.33,few clouds
279,Belmonte,BR,-15.8631,-38.8828,76.46,92,100,11.92,moderate rain
280,Cap Malheureux,MU,-19.9842,57.6142,76.46,84,77,7.0,broken clouds
281,Kalabo,ZM,-14.97,22.6814,67.26,83,89,5.17,overcast clouds
282,Camabatela,AO,-8.1881,15.375,60.44,97,100,2.71,overcast clouds
283,Viedma,AR,-40.8135,-62.9967,61.74,52,3,14.54,clear sky
284,Zhengjiatun,CN,43.5064,123.5064,62.71,19,0,13.2,clear sky
285,Olafsvik,IS,64.8945,-23.7142,45.39,85,100,30.36,overcast clouds
286,Fort Nelson,CA,58.8053,-122.7002,35.19,27,40,3.44,scattered clouds
287,Itoman,JP,26.1247,127.6694,75.22,58,40,21.85,scattered clouds
288,Winnemucca,US,40.973,-117.7357,51.85,32,75,5.75,broken clouds
289,Constitucion,CL,-35.3333,-72.4167,51.73,83,0,6.98,clear sky
290,Mao,ES,39.8885,4.2658,50.56,87,0,2.3,clear sky
291,Jacareacanga,BR,-6.2222,-57.7528,72.5,98,100,1.7,overcast clouds
292,Khoy,IR,38.5504,44.9535,47.46,49,100,4.65,overcast clouds
293,Ornskoldsvik,SE,63.2909,18.7153,23.95,100,100,3.44,overcast clouds
294,Lompoc,US,34.6391,-120.4579,53.78,85,100,15.01,overcast clouds
295,Raga,SS,8.4596,25.678,74.98,71,100,6.91,overcast clouds
296,Kudahuvadhoo,MV,2.6708,72.8944,83.5,72,94,2.48,overcast clouds
297,Paamiut,GL,61.994,-49.6678,21.29,78,19,13.29,few clouds
298,Leningradskiy,RU,69.3833,178.4167,11.62,89,100,9.4,overcast clouds
299,Tuatapere,NZ,-46.1333,167.6833,54.66,58,35,15.52,scattered clouds
300,Mtsamboro,YT,-12.6998,45.0689,79.92,69,12,2.82,few clouds
301,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,88,20,2.77,light rain
302,Key West,US,24.5557,-81.7826,82.4,76,75,13.8,broken clouds
303,Fairbanks,US,64.8378,-147.7164,33.76,39,0,16.11,clear sky
304,Camacha,PT,33.0833,-16.3333,58.42,82,20,5.75,few clouds
305,Painesville,US,41.7245,-81.2457,50.54,76,100,10.36,light rain
306,Touros,BR,-5.1989,-35.4608,77.95,88,85,7.61,overcast clouds
307,Quatre Cocos,MU,-20.2078,57.7625,77.11,77,92,21.23,light rain
308,Mataram,ID,-8.5833,116.1167,92.21,71,68,4.7,broken clouds
309,Olenegorsk,RU,68.15,33.3,29.1,89,100,6.26,overcast clouds
310,Jingdezhen,CN,29.2947,117.2079,50.65,90,100,3.94,light rain
311,Altar,MX,30.7,-111.8167,69.66,14,48,0.58,scattered clouds
312,Alice,US,27.7523,-98.0697,74.77,91,75,8.05,broken clouds
